Wl,Ex.1 ,Ex.2,Ex.3,Ex.4,Ex.5,Ex.6,Ex.7,Ex.8
630,0.048407304,0.033280208,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997681436
631,0.048546439,0.032647992,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997670905
632,0.048685574,0.032015777,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997660373
633,0.048824709,0.031383562,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997649842
634,0.048963844,0.030751347,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997639311
635,0.049102979,0.030119131,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.99762878
636,0.049242114,0.029486916,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997618248
637,0.049381249,0.028854701,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997607717
638,0.049520384,0.028222486,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997597186
639,0.049659519,0.02759027,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997586655
640,0.049798654,0.026958055,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997576123
641,0.049851043,0.026820154,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997308083
642,0.049903433,0.026682254,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.997040042
643,0.049955822,0.026544353,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.996772002
644,0.050008212,0.026406453,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.996503961
645,0.050060601,0.026268552,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.99623592
646,0.05011299,0.026130651,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.99596788
647,0.05016538,0.025992751,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.995699839
648,0.050217769,0.02585485,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.995431799
649,0.050270159,0.025716949,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.995163758
650,0.050322548,0.025579049,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.994895718
651,0.051298783,0.025614725,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.994623489
652,0.052275017,0.025650401,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.99435126
653,0.053251252,0.025686077,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.994079031
654,0.054227486,0.025721753,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.993806803
655,0.055203721,0.025757429,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.993534574
656,0.056179956,0.025793105,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.993262345
657,0.05715619,0.025828781,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.992990116
658,0.058132425,0.025864457,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.992717888
659,0.059108659,0.025900134,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.992445659
660,0.060084894,0.02593581,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.99217343
661,0.059462974,0.025563515,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.992009389
662,0.058841054,0.025191219,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.991845347
663,0.058219134,0.024818924,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.991681305
664,0.057597214,0.024446629,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.991517264
665,0.056975294,0.024074334,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.991353222
666,0.056353373,0.023702039,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.99118918
667,0.055731453,0.023329744,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.991025139
668,0.055109533,0.022957449,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.990861097
669,0.054487613,0.022585153,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.990697056
670,0.053865693,0.022212858,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.990533014
671,0.053489617,0.023416006,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.990319595
672,0.053113541,0.024619153,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.990106176
673,0.052737465,0.0258223,0.017160586,0.017160586,0.017160586,0.026192518,0.017160586,0.989892757
